easting,northing,gCBGA
336525,4260459,-199.99500000000
336633,4260451,-199.59900000000
336836,4260441,-198.56100000000
337032,4260429,-195.90800000000
337228,4260417,-197.85900000000
337430,4260402,-198.35900000000
337631,4260391,-198.40700000000
337830,4260379,-197.87500000000
338500,4260999,-197.89300000000
339002,4261000,-198.62700000000
338500,4261999,-199.33500000000
339001,4262003,-200.22100000000
337708,4260554,-198.31500000000
332943,4265030,-209.25200000000
332501,4264999,-210.15300000000
331501,4264997,-210.50800000000
330502,4265000,-210.99100000000
329501,4264999,-210.81600000000
329501,4265999,-209.21500000000
330503,4265998,-209.67200000000
331502,4266001,-209.81800000000
331502,4266999,-209.08000000000
339452,4260119,-200.46500000000
339506,4261999,-201.08400000000
339013,4262486,-196.22400000000
338515,4262536,-195.43700000000
338499,4263014,-192.89800000000
339027,4263283,-195.27000000000
339474,4263260,-196.82000000000
338099,4261529,-198.71100000000
328510,4259126,-217.82300000000
327517,4259117,-215.79800000000
326524,4259069,-214.08300000000
325571,4258817,-212.01900000000
324581,4258881,-208.07000000000
323580,4258953,-204.19300000000
322284,4258489,-199.47800000000
320950,4258009,-191.59600000000
320274,4255797,-188.63200000000
319097,4255857,-189.60400000000
317811,4256356,-191.08900000000
316794,4254544,-186.56000000000
315388,4255058,-184.81000000000
314117,4255879,-196.29100000000
312938,4256442,-198.10400000000
311782,4257281,-198.93700000000
310756,4258265,-199.98300000000
309868,4259347,-200.98100000000
340613,4262090,-200.64400000000
342127,4262253,-203.43000000000
343527,4262162,-205.05400000000
343962,4263554,-206.27000000000
343143,4264685,-202.45300000000
343337,4266036,-203.63300000000
344804,4263016,-207.93900000000
345952,4263846,-206.92600000000
346935,4264870,-210.98700000000
348373,4265543,-214.62400000000
336973,4260010,-199.98500000000
336484,4259968,-201.63500000000
335985,4259988,-203.09200000000
335504,4260006,-203.74300000000
335000,4260024,-206.36800000000
334515,4260049,-208.26200000000
333983,4260062,-209.52700000000
310437,4257177,-200.10900000000
309050,4257737,-200.45900000000
307765,4258258,-198.59100000000
306655,4258709,-196.96600000000
305452,4259036,-193.68500000000
303970,4259432,-188.19200000000
302805,4258460,-187.01400000000
302035,4257175,-185.46500000000
300822,4256449,-182.60500000000
299373,4256648,-185.02900000000
334852,4262980,-204.93800000000
336739,4264151,-195.94000000000
337662,4264167,-193.20900000000
337639,4262823,-195.33200000000
337453,4262911,-195.20100000000
337289,4262914,-194.45800000000
337076,4262892,-195.60400000000
336883,4262925,-196.74300000000
336688,4262931,-197.55000000000
334655,4262965,-205.30800000000
334455,4262971,-205.81400000000
335050,4262987,-204.13100000000
334256,4262980,-206.10200000000
334054,4262982,-206.55000000000
333664,4262989,-207.41300000000
333257,4262997,-208.34000000000
332836,4263008,-209.15800000000
334183,4263671,-206.32700000000
334361,4263581,-205.87400000000
334549,4263491,-205.65100000000
334729,4263396,-204.75700000000
334891,4263264,-204.62900000000
335262,4262952,-203.69500000000
335081,4263210,-203.19400000000
335245,4263124,-203.60100000000
335436,4263035,-202.73900000000
335806,4262847,-201.34200000000
336928,4262789,-196.15300000000
336786,4262655,-197.72300000000
336634,4262519,-198.37300000000
336485,4262387,-197.74200000000
336325,4262246,-200.07900000000
336185,4262112,-200.70600000000
335451,4262947,-202.69800000000
336039,4261990,-201.30100000000
333857,4262985,-207.07800000000
335658,4262941,-201.06800000000
335860,4262929,-201.24900000000
336095,4262926,-200.55300000000
336278,4262943,-199.73900000000
336493,4262931,-198.20600000000
331556,4231416,-197.75500000000
336737,4231366,-194.64800000000
