longitude,latitude,height_sea_level_m,height_geometric_m,gravity_mgal,gravity_disturbance_mgal,gravity_bouguer_mgal
27.42332,-26.23,1557.5,1584.2573923101804,978562.32,9.2177565068705,-164.7581352301172
27.42416,-26.77467,1529.0,1558.090670538877,978685.84,85.3919016267173,-87.73636629107628
27.435,-26.39166,1614.2,1641.6211876716545,978587.21,40.20442785031628,-142.58936411015594
27.435,-26.91833,1381.7,1411.0872147790594,978687.38,31.132685204036534,-126.03039734748072
27.43533,-26.99718,1399.0,1428.4840870144592,978696.89,40.25600586622022,-117.67818304557258
27.44,-26.17168,1525.5,1552.0584721076236,978571.71,12.847061010077596,-157.5176222013596
27.44167,-26.035,1548.7,1574.8401274121359,978573.61,31.525294816703536,-143.73051932477765
27.44501,-26.13167,1548.7,1575.1205230778328,978568.41,19.519038904458284,-156.14835977132358
27.44501,-26.11667,1558.4,1584.7718863283278,978568.11,23.26686580677051,-153.34623213289902
27.44667,-26.15833,1585.0,1611.514101406419,978551.62,12.051019765203819,-162.1955627664694
27.44749,-26.87801,1399.0,1428.3180615100619,978682.23,34.235601371736266,-122.57756100043514
27.455,-26.32333,1505.1,1532.255930121874,978599.4,23.567523239413276,-145.92061086602536
27.45583,-26.94366,1417.0,1446.4078722718245,978686.12,38.92152953881305,-122.02365344395514
27.45667,-26.43333,1623.7,1651.3389956051903,978595.31,48.304320319904946,-134.61875251267503
27.45667,-26.7195,1538.0,1566.8986341879333,978665.29,71.56260613817722,-102.34706366498943
27.45833,-26.215,1538.9,1565.629742123096,978566.01,8.235339785460383,-164.8968406704339
27.46001,-26.41499,1702.9,1730.4601804066842,978573.91,52.628772266209126,-139.9728541224543
27.46167,-26.44167,1578.8,1606.4793790322312,978606.8,45.35674141999334,-131.4325871002957
27.46167,-26.89999,1382.6,1411.9418124511062,978680.98,26.332837042980827,-128.86124111014016
27.46832,-26.20833,1569.4,1596.1109777665304,978557.92,10.024962489958853,-165.4490720258906
27.4725,-26.82832,1540.0,1569.2067703685802,978666.85,65.93186335032806,-103.8481220080607
27.48033,-26.77917,1442.0,1471.0842892240994,978681.15,53.53615545819048,-105.11651033563692
27.48466,-26.99451,1438.0,1467.447237361283,978690.58,46.16032957471907,-117.3789661534284
27.485,-26.21667,1544.7,1571.451285302977,978561.32,5.221587540814653,-170.14253451271534
27.48833,-26.36,1553.2,1580.5486104711752,978586.11,22.541316105634905,-150.72519724949686
27.49333,-26.29832,1508.1,1535.1865403032994,978583.71,10.575775247532874,-159.44551453379327
